id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,spurs_goals,goaldiff,gamenumber,home,spurs_opp,opp_rating,opp_attack,opp_defense,spurs_attack,spurs_def,spurs_rating
1735,1729,2008/2009,1,2008-08-16,489048,8549,8586,2,1,1,-1,1,0,Middlesbrough,74,80,73,80,79,79
1840,1729,2008/2009,2,2008-08-23,489053,8586,8472,1,2,1,-1,2,1,Sunderland,75,78,72,80,79,79
1958,1729,2008/2009,3,2008-08-31,489071,8455,8586,1,1,1,0,3,0,Chelsea,84,87,84,80,79,79
2050,1729,2008/2009,4,2008-09-15,489073,8586,10252,1,2,1,-1,4,1,Aston Villa,78,81,77,80,79,79
2061,1729,2008/2009,5,2008-09-21,489084,8586,8528,0,0,0,0,5,1,Wigan Athletic,73,75,71,80,79,79
2076,1729,2008/2009,6,2008-09-28,489099,8462,8586,2,0,0,-2,6,0,Portsmouth,76,78,76,80,79,79
2080,1729,2008/2009,7,2008-10-05,489103,8586,8667,0,1,0,-1,7,1,Hull City,71,70,68,80,79,79
2098,1729,2008/2009,8,2008-10-19,489121,10194,8586,2,1,1,-1,8,0,Stoke City,70,75,67,80,79,79
2100,1729,2008/2009,9,2008-10-26,489123,8586,8559,2,0,2,2,9,1,Bolton Wanderers,74,75,72,80,79,79
1740,1729,2008/2009,10,2008-10-29,489133,9825,8586,4,4,4,0,10,0,Arsenal,81,85,83,80,79,79
1750,1729,2008/2009,11,2008-11-01,489143,8586,8650,2,1,2,1,11,1,Liverpool,81,85,80,80,79,79
1764,1729,2008/2009,12,2008-11-09,489157,8456,8586,1,2,2,1,12,0,Manchester City,79,82,78,80,79,79
1775,1729,2008/2009,13,2008-11-15,489168,9879,8586,2,1,1,-1,13,0,Fulham,74,80,72,80,79,79
1781,1729,2008/2009,14,2008-11-23,489174,8586,8655,1,0,1,1,14,1,Blackburn Rovers,76,78,76,80,79,79
1791,1729,2008/2009,15,2008-11-30,489184,8586,8668,0,1,0,-1,15,1,Everton,78,82,78,80,79,79
1801,1729,2008/2009,16,2008-12-08,489194,8654,8586,0,2,2,2,16,0,West Ham United,76,76,76,80,79,79
1811,1729,2008/2009,17,2008-12-13,489204,8586,10260,0,0,0,0,17,1,Manchester United,84,86,84,80,79,79
1823,1729,2008/2009,18,2008-12-21,489216,10261,8586,2,1,1,-1,18,0,Newcastle United,76,81,76,80,79,79
1831,1729,2008/2009,19,2008-12-26,489225,8586,9879,0,0,0,0,19,1,Fulham,74,80,72,80,79,79
1857,1729,2008/2009,20,2008-12-28,489241,8659,8586,2,0,0,-2,20,0,West Bromwich Albion,71,68,69,80,79,79
1868,1729,2008/2009,21,2009-01-11,489252,8528,8586,1,0,0,-1,21,0,Wigan Athletic,73,75,71,80,79,79
1871,1729,2008/2009,22,2009-01-18,489255,8586,8462,1,1,1,0,22,1,Portsmouth,76,78,76,80,79,79
1880,1729,2008/2009,23,2009-01-27,489264,8586,10194,3,1,3,2,23,1,Stoke City,70,75,67,80,79,79
1896,1729,2008/2009,24,2009-01-31,489280,8559,8586,3,2,2,-1,24,0,Bolton Wanderers,74,75,72,80,79,79
1900,1729,2008/2009,25,2009-02-08,489284,8586,9825,0,0,0,0,25,1,Arsenal,81,85,83,80,79,79
1917,1729,2008/2009,26,2009-02-23,489301,8667,8586,1,2,2,1,26,0,Hull City,71,70,68,80,79,79
1929,1729,2008/2009,28,2009-03-04,489313,8586,8549,4,0,4,4,27,1,Middlesbrough,74,80,73,80,79,79
1921,1729,2008/2009,27,2009-03-07,489305,8472,8586,1,1,1,0,28,0,Sunderland,75,78,72,80,79,79
1943,1729,2008/2009,29,2009-03-15,489327,10252,8586,1,2,2,1,29,0,Aston Villa,78,81,77,80,79,79
1960,1729,2008/2009,30,2009-03-21,489334,8586,8455,1,0,1,1,30,1,Chelsea,84,87,84,80,79,79
1974,1729,2008/2009,31,2009-04-04,489348,8655,8586,2,1,1,-1,31,0,Blackburn Rovers,76,78,76,80,79,79
1981,1729,2008/2009,32,2009-04-11,489355,8586,8654,1,0,1,1,32,1,West Ham United,76,76,76,80,79,79
1991,1729,2008/2009,33,2009-04-19,489365,8586,10261,1,0,1,1,33,1,Newcastle United,76,81,76,80,79,79
1999,1729,2008/2009,34,2009-04-25,489373,10260,8586,5,2,2,-3,34,0,Manchester United,84,86,84,80,79,79
2011,1729,2008/2009,35,2009-05-02,489385,8586,8659,1,0,1,1,35,1,West Bromwich Albion,71,68,69,80,79,79
2022,1729,2008/2009,36,2009-05-09,489396,8668,8586,0,0,0,0,36,0,Everton,78,82,78,80,79,79
2030,1729,2008/2009,37,2009-05-16,489404,8586,8456,2,1,2,1,37,1,Manchester City,79,82,78,80,79,79
2040,1729,2008/2009,38,2009-05-24,489414,8650,8586,3,1,1,-2,38,0,Liverpool,81,85,80,80,79,79
2110,1729,2009/2010,1,2009-08-16,658574,8586,8650,2,1,2,1,39,1,Liverpool,82,88,81,81,78,79
2224,1729,2009/2010,2,2009-08-19,658588,8667,8586,1,5,5,4,40,0,Hull City,73,70,73,81,78,79
2332,1729,2009/2010,3,2009-08-23,658596,8654,8586,1,2,2,1,41,0,West Ham United,76,76,75,81,78,79
2430,1729,2009/2010,4,2009-08-29,658604,8586,8658,2,1,2,1,42,1,Birmingham City,74,73,71,81,78,79
2441,1729,2009/2010,5,2009-09-12,658615,8586,10260,1,3,1,-2,43,1,Manchester United,82,86,84,81,78,79
2458,1729,2009/2010,6,2009-09-20,658632,8455,8586,3,0,0,-3,44,0,Chelsea,83,85,84,81,78,79
2460,1729,2009/2010,7,2009-09-26,658670,8586,8191,5,0,5,5,45,1,Burnley,72,75,70,81,78,79
2475,1729,2009/2010,8,2009-10-03,658685,8559,8586,2,2,2,0,46,0,Bolton Wanderers,75,77,73,81,78,79
2487,1729,2009/2010,9,2009-10-17,658697,8462,8586,1,2,2,1,47,0,Portsmouth,75,75,74,81,78,79
2123,1729,2009/2010,10,2009-10-24,658703,8586,10194,0,1,0,-1,48,1,Stoke City,73,76,75,81,78,79
2136,1729,2009/2010,11,2009-10-31,658716,9825,8586,3,0,0,-3,49,0,Arsenal,81,85,82,81,78,79
2143,1729,2009/2010,12,2009-11-07,658723,8586,8472,2,0,2,2,50,1,Sunderland,75,78,74,81,78,79
2157,1729,2009/2010,13,2009-11-22,658797,8586,8528,9,1,9,8,51,1,Wigan Athletic,74,74,74,81,78,79
2166,1729,2009/2010,14,2009-11-28,658806,10252,8586,1,1,1,0,52,0,Aston Villa,79,82,76,81,78,79
2175,1729,2009/2010,15,2009-12-06,658815,8668,8586,2,2,2,0,53,0,Everton,79,80,79,81,78,79
2182,1729,2009/2010,16,2009-12-12,658822,8586,8602,0,1,0,-1,54,1,Wolverhampton Wanderers,72,75,69,81,78,79
